number of samples;runtime [cycles];version;flops;;;;
100;18.153.706.667;baseline;11637450;;;;
200;5119784.0;baseline;46784900;;;;
500;36682254.0;baseline;293287250;;;;
600;50978296.0;baseline;422474700;;;;
700;732.568.296.667;baseline;575172150;;dimension:;d = 28x28 = ;784
800;91977098.0;baseline;751379600;;normal:;(3d-1)xn(n-1)/2;
900;1.251.116.246.667;baseline;951097050;;optimized:;(2d+2)xn(n-1)/2+(2d-1)n;
1000;150131143.0;baseline;1174324500;;;;
2000;6.511.001.133.333;baseline;4699649000;;;;
3000;2167713001.0;baseline;10575973500;;;;
4000;46.025.076.843.333;baseline;18803298000;;;;
5000;7935532854.0;baseline;29381622500;;;;
6000;120.020.634.973.333;baseline;42310947000;;;;
7000;174.794.843.373.333;baseline;57591271500;;;;
8000;235.728.167.923.333;baseline;75222596000;;;;
9000;300.346.289.246.667;baseline;95204920500;;;;
10000;390.962.603.646.667;baseline;1,17538E+11;;;;
100;19.975.253.333;optimized_dist;7928200;;;;
200;93.457.906.667;optimized_dist;31556400;;;;
500;517.808.733.333;optimized_dist;196641000;;;;
600;700.479.693.333;optimized_dist;283069200;;;;
700;98617612.0;optimized_dist;385197400;;;;
800;104998622.0;optimized_dist;503025600;;;;
900;1.342.116.716.667;optimized_dist;636553800;;;;
1000;165756163.0;optimized_dist;785782000;;;;
2000;6.801.992.913.333;optimized_dist;3141564000;;;;
3000;1836256206.0;optimized_dist;7067346000;;;;
4000;36.341.116.053.333;optimized_dist;12563128000;;;;
5000;65.964.988.123.333;optimized_dist;19628910000;;;;
6000;98.575.867.313.333;optimized_dist;28264692000;;;;
7000;141.824.424.653.333;optimized_dist;38470474000;;;;
8000;19510928767.0;optimized_dist;50246256000;;;;
9000;25473899231.0;optimized_dist;63592038000;;;;
10000;329.557.674.243.333;optimized_dist;78507820000;;;;
100;19.621.853.333;scalar opt;11637450;;;;
200;67.363.166.667;scalar opt;46784900;;;;
500;422.304.366.667;scalar opt;293287250;;;;
600;616.133.906.667;scalar opt;422474700;;;;
700;820.987.226.667;scalar opt;575172150;;;;
800;1.068.837.103.333;scalar opt;751379600;;;;
900;138278205.0;scalar opt;951097050;;;;
1000;1.815.936.666.667;scalar opt;1174324500;;;;
2000;8.065.715.553.333;scalar opt;4699649000;;;;
3000;2081949276.0;scalar opt;10575973500;;;;
4000;40.998.214.766.667;scalar opt;18803298000;;;;
5000;73.737.207.116.667;scalar opt;29381622500;;;;
6000;11116160238.0;scalar opt;42310947000;;;;
7000;159.406.525.946.667;scalar opt;57591271500;;;;
8000;21359739480.0;scalar opt;75222596000;;;;
9000;255.498.347.843.333;scalar opt;95204920500;;;;
10000;34651034686.0;scalar opt;1,17538E+11;;;;
